ds,y
01-01-2023,100.49671415301123
01-02-2023,100.35844985184005
01-03-2023,101.00613838994074
01-04-2023,102.52916824634876
01-05-2023,102.29501487162543
01-06-2023,102.06087791467625
01-07-2023,103.64009073018364
01-08-2023,104.40752545933655
01-09-2023,103.9380510734016
01-10-2023,104.48061111698756
01-11-2023,104.0171934241751
01-12-2023,103.55146367060485
01-13-2023,103.79342594217087
01-14-2023,101.88014569751307
01-15-2023,100.15522786500004
01-16-2023,99.59294033575907
01-17-2023,98.58010921542466
01-18-2023,98.89435654801993
01-19-2023,97.98633247249872
01-20-2023,96.57402877116343
01-21-2023,98.03967754008498
01-22-2023,97.81390123959844
01-23-2023,97.88142944428637
01-24-2023,96.45668126
01-25-2023,95.91229853354773
01-26-2023,96.02322112325758
01-27-2023,94.87222754583529
01-28-2023,95.24792556418096
01-29-2023,94.64728687426215
01-30-2023,94.35559312446888
01-31-2023,93.75388651223948
02-01-2023,95.60616469674842
02-02-2023,95.59266747201049
02-03-2023,94.53495654305459
02-04-2023,95.35750145515777
02-05-2023,94.13665780518676
02-06-2023,94.3455214
02-07-2023,92.38585127631173
02-08-2023,91.05766522741331
02-09-2023,91.25452646328243
02-10-2023,91.99299304327783
02-11-2023,92.16436132
02-12-2023,92.04871304207957
02-13-2023,91.74760934649028
02-14-2023,90.26908735612285
02-15-2023,89.54924314772813
02-16-2023,89.08860437676836
02-17-2023,90.14572660298727
02-18-2023,90.48934489255574
02-19-2023,88.72630473719299
02-20-2023,89.05038871
02-21-2023,88.66530642617147
02-22-2023,87.98838442586552
02-23-2023,88.60006071470639
02-24-2023,89.63106023720233
02-25-2023,90.56234035631853
02-26-2023,89.72312283
02-27-2023,89.41391045724468
02-28-2023,89.74517388864824
03-01-2023,90.72071902
03-02-2023,90.24154477792531
03-03-2023,90.0558858
03-04-2023,88.94955082725546
03-05-2023,87.7533442
03-06-2023,88.56587003
03-07-2023,89.92211005413982
03-08-2023,89.85009993255949
03-09-2023,90.85363283045152
03-10-2023,91.21526885549915
03-11-2023,90.57014910089401
03-12-2023,90.93154470640243
03-13-2023,92.46958127
03-14-2023,92.43375523375845
03-15-2023,93.99839888957246
03-16-2023,91.37865378548271
03-17-2023,92.20055628985793
03-18-2023,92.28760336
03-19-2023,91.98859600763024
03-20-2023,92.08035678416574
03-21-2023,90.09278786956484
03-22-2023,89.87311598172734
03-23-2023,90.23022855323909
03-24-2023,91.7081226
03-25-2023,91.18985237970695
03-26-2023,90.38135877681377
03-27-2023,89.87960173322922
03-28-2023,90.79500385
03-29-2023,91.12375496059099
03-30-2023,90.59399475682395
03-31-2023,91.10726219
04-01-2023,91.20433973928534
04-02-2023,92.17298472981824
04-03-2023,91.47093163594087
04-04-2023,91.14326948934311
04-05-2023,90.75116133621096
04-06-2023,89.28764638807883
04-07-2023,89.58376666514341
04-08-2023,89.84482194
04-09-2023,89.84993539396577
04-10-2023,89.61534826059061
04-11-2023,88.19997752
04-12-2023,87.77933219577484
